url,objectsh,finalrank,facerank,strongcol1percent
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329302/medium/1491811148/enhance,4,1.39,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329612/medium/1491811244/enhance,1,1.35,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332268/medium/1491812133/enhance,4,1.23,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329154/medium/1491811100/enhance,0,0.97,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332547/medium/1491812250/enhance,1,1.4,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332617/medium/1491812281/enhance,0,1.0,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324163/medium/1491810110/enhance,3,2.09,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323591/medium/1491809869/enhance,1,1.02,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332050/medium/1491812047/enhance,3,1.82,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325655/medium/1491810646/enhance,4,1.3,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328577/medium/1491810945/enhance,4,1.31,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331140/medium/1491811724/enhance,2,1.38,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323703/medium/1491809914/enhance,3,1.43,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329495/medium/1491811204/enhance,1,1.6,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329390/medium/1491811174/enhance,1,4.56,2,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330125/medium/1491811401/enhance,1,1.39,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330558/medium/1491811534/enhance,4,1.18,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331113/medium/1491811717/enhance,1,1.2,0,4
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323652/medium/1491809895/enhance,1,1.09,2,7
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324292/medium/1491810162/enhance,0,1.46,3,2
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331485/medium/1491811832/enhance,4,1.25,0,28
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329561/medium/1491811227/enhance,3,1.32,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329796/medium/1491811300/enhance,4,1.35,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332646/medium/1491812297/enhance,1,0.83,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330746/medium/1491811596/enhance,1,3.97,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323819/medium/1491809952/enhance,2,2.08,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323767/medium/1491809939/enhance,0,7.56,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332370/medium/1491812172/enhance,0,6.88,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330430/medium/1491811494/enhance,3,1.14,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324086/medium/1491810071/enhance,2,1.45,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327454/medium/1491810728/enhance,4,1.22,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323854/medium/1491809969/enhance,2,1.27,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331649/medium/1491811890/enhance,1,1.18,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328408/medium/1491810896/enhance,1,1.26,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323850/medium/1491809967/enhance,2,0.68,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324199/medium/1491810123/enhance,3,2.63,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329682/medium/1491811265/enhance,2,5.35,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331960/medium/1491812003/enhance,1,0.18,3,2
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329638/medium/1491811250/enhance,0,1.17,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332367/medium/1491812169/enhance,0,4.45,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323770/medium/1491809940/enhance,2,2.61,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331249/medium/1491811764/enhance,2,1.31,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331643/medium/1491811888/enhance,0,1.29,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329685/medium/1491811266/enhance,3,3.93,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331771/medium/1491811940/enhance,2,1.41,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328903/medium/1491811028/enhance,1,1.03,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324883/medium/1491810374/enhance,2,1.37,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325455/medium/1491810595/enhance,2,1.08,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329551/medium/1491811223/enhance,1,1.3,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327997/medium/1491810786/enhance,2,1.0,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330612/medium/1491811551/enhance,4,1.3,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968528/medium/1493026360/enhance,4,1.1,0,10
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967217/medium/1493025327/enhance,0,1.28,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968305/medium/1493026176/enhance,2,1.21,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968820/medium/1493026617/enhance,4,1.1,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968650/medium/1493026471/enhance,0,1.39,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968801/medium/1493026593/enhance,4,1.41,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968522/medium/1493026360/enhance,3,0.85,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968364/medium/1493026210/enhance,4,1.34,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968717/medium/1493026509/enhance,1,1.4,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968595/medium/1493026416/enhance,4,1.42,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968493/medium/1493026312/enhance,1,1.28,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967216/medium/1493025330/enhance,0,0.8,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967496/medium/1493025567/enhance,1,1.3,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968495/medium/1493026312/enhance,2,1.46,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967038/medium/1493025197/enhance,1,1.53,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967109/medium/1493025269/enhance,3,0.92,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967462/medium/1493025512/enhance,0,0.89,5,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968775/medium/1493026576/enhance,3,1.37,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968707/medium/1493026512/enhance,4,1.36,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968428/medium/1493026285/enhance,4,0.97,0,7
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967410/medium/1493025501/enhance,0,1.27,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968605/medium/1493026437/enhance,4,1.12,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968749/medium/1493026550/enhance,4,1.21,0,6
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968840/medium/1493026621/enhance,1,2.28,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968835/medium/1493026622/enhance,4,1.38,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968321/medium/1493026197/enhance,0,1.36,0,2
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967074/medium/1493025246/enhance,1,1.07,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967218/medium/1493025330/enhance,3,0.88,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968670/medium/1493026483/enhance,4,1.32,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968748/medium/1493026550/enhance,4,1.31,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967343/medium/1493025442/enhance,0,1.17,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967305/medium/1493025435/enhance,1,1.24,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968412/medium/1493026285/enhance,3,0.98,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967106/medium/1493025269/enhance,3,0.79,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968669/medium/1493026483/enhance,1,1.41,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967034/medium/1493025197/enhance,1,1.2,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968603/medium/1493026434/enhance,1,1.3,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878967298/medium/1493025398/enhance,0,1.36,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968539/medium/1493026370/enhance,4,1.33,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72878968425/medium/1493026285/enhance,1,1.2,0,0
